m/z	I	
811.1131	488	
811.2826	140	
811.4485	269	
811.6099	436	
811.7818	181	
812.1087	232	
812.6040	100	
813.1061	129	
813.2851	1294	
813.4515	2730	
813.6191	2595	
813.7859	2497	
813.9536	1340	
814.1194	973	
814.2884	354	
814.3707	183	
814.4510	203	
814.6169	302	
814.8747	611	
815.1221	861	
815.3751	487	
815.4544	119	
815.6223	225	
815.7855	119	
815.8765	102	
816.1024	508	
816.4536	142	
816.5978	571	
816.7861	102	
817.1021	353	
817.1488	321	
817.6052	179	
818.1108	219	
818.1514	106	
818.3597	177	
818.6131	187	
818.8668	131	
819.1162	215	
820.1175	187	
820.6081	237	
821.1102	288	
821.3641	248	
821.6100	336	
821.7761	251	
821.8641	120	
821.9415	179	
822.1089	329	
822.6076	289	
822.8642	185	
823.1102	223	
823.3633	191	
823.6056	582	
824.1131	488	
824.3654	252	
824.4372	115	
824.6094	853	
824.7783	1135	
824.8646	102	
824.9454	1009	
825.1090	1683	
825.2796	604	
825.4460	349	
825.6071	939	
825.6506	203	
825.7806	101	
825.8293	129	
825.8662	316	
825.9646	321	
826.1108	862	
826.2532	355	
826.3944	324	
826.5381	134	
826.6099	303	
826.7835	186	
826.9488	180	
827.1118	991	
827.6149	129	
827.9452	139	
828.1163	466	
828.6100	403	
829.1094	396	
829.6102	207	
829.8602	116	
830.1091	485	
830.3620	851	
830.4386	170	
830.6131	1002	
830.8636	720	
831.1130	937	
831.3644	193	
831.6071	455	
832.1042	174	
832.4628	150	
832.6072	241	
833.1096	913	
833.6037	129	
834.1115	446	
834.3110	164	
834.3609	332	
834.5087	150	
834.6111	528	
834.8619	400	
835.1140	382	
835.3651	147	
836.5859	166	
837.1196	435	
837.6157	681	
838.1166	470	
838.6133	254	
839.1145	289	
839.4310	124	
839.7654	131	
840.1136	300	
840.6181	148	
841.1158	126	
841.8318	129	
841.9716	165	
842.1170	242	
842.2617	196	
842.4024	149	
842.4577	102	
842.5461	101	
842.6228	126	
843.1211	308	
843.2817	152	
843.4505	216	
843.6185	155	
843.7869	115	
844.1261	108	
845.1000	108	
845.5896	132	
846.1178	252	
846.2860	177	
846.4615	2116	
846.6176	444	
846.7965	2236	
847.1296	1530	
847.4642	767	
847.6235	236	
847.7977	251	
848.1286	318	
848.4651	108	
848.5207	186	
848.6273	102	
848.7215	287	
848.7967	102	
848.9226	280	
849.1208	688	
849.2866	353	
849.3212	130	
849.4541	339	
849.6181	226	
849.7892	212	
849.9537	155	
850.1349	242	
850.3497	142	
850.5297	581	
850.7325	856	
850.9316	1183	
851.1322	818	
851.3326	322	
851.5320	254	
851.6281	145	
852.1274	133	
852.4665	1354	
852.8000	1378	
852.9554	155	
853.1323	1151	
853.2932	202	
853.4647	540	
853.6261	121	
853.7994	167	
854.1322	352	
854.3334	585	
854.5332	344	
854.7350	420	
854.9331	207	
855.0978	257	
855.1295	160	
855.7917	245	
856.0861	263	
856.1262	429	
856.3188	272	
856.3769	164	
856.4607	148	
856.5171	476	
856.5863	105	
856.6307	534	
856.7176	454	
856.7928	103	
856.9181	256	
857.1269	521	
857.3199	109	
857.6322	153	
858.1280	125	
859.1143	179	
859.2740	146	
860.1183	164	
860.3197	147	
860.5188	104	
860.6199	134	
861.1129	233	
861.6255	135	
