m/z	I	
1571.4852	233463	
1571.6041	2599	
1571.7355	319669	
1571.8571	3809	
1571.9860	326673	
1572.1058	3910	
1572.2364	260543	
1572.3475	3079	
1572.4868	172541	
1572.7373	106951	
1572.9882	58849	
1573.2396	31399	
1573.4917	17173	
1573.7434	9400	
1573.9950	5550	
1574.2457	3439	
1574.4954	2169	
1575.2336	5304	
1575.4830	9900	
1575.7332	12830	
1575.9834	13748	
1576.2341	12286	
1576.4847	9547	
1576.7354	8321	
1576.9856	8591	
1577.2360	8542	
1577.4861	7889	
1577.7372	6084	
1577.9872	4289	
1578.2396	2740	
1578.7424	2363	
1578.9928	3245	
1579.1182	2658	
1579.2428	3729	
1579.3685	2593	
1579.4921	3023	
1579.7415	2078	
1580.7407	2744	
1580.9914	5296	
1581.2424	7125	
1581.4930	7637	
1581.7466	9031	
1581.9998	11320	
1582.2520	13022	
1582.5032	12325	
1582.7536	10164	
1583.0042	7532	
1583.2546	4990	
1583.5053	3065	
1585.0025	2888	
1585.2499	10285	
1585.4999	19797	
1585.7479	104794	
1585.9983	229481	
1586.2487	312450	
1586.3669	2899	
1586.4991	320374	
1586.7495	263733	
1587.0000	182863	
1587.2504	111836	
1587.5011	62828	
1587.7523	32768	
1588.0037	17246	
1588.2554	9370	
1588.5069	5262	
1588.7584	3215	
1589.0069	2155	
1589.5007	2095	
1589.7464	5524	
1589.9959	10378	
1590.2465	13886	
1590.4967	14691	
1590.7469	12606	
1590.9971	10075	
1591.2466	8784	
1591.4963	8734	
1591.7465	8730	
1591.9970	8181	
1592.2478	6337	
1592.4986	4385	
1592.7504	3021	
1593.0031	2215	
1593.2552	2227	
1593.5061	2702	
1593.7556	2744	
1594.0050	2343	
1595.2507	2520	
1595.5033	4419	
1595.7538	6079	
1596.0050	6407	
1596.2582	7551	
1596.5121	9990	
1596.7641	11514	
1597.0155	11310	
1597.2660	9712	
1597.5163	7283	
1597.7666	4802	
1598.0169	2951	
1599.5139	2270	
1599.7627	7986	
1600.0129	15112	
1600.2610	82006	
1600.5112	180375	
1600.7616	245933	
1601.0121	249882	
1601.2625	203867	
1601.5129	141696	
1601.7633	88273	
1602.0140	49820	
1602.2649	26150	
1602.5159	13600	
1602.7673	6780	
1603.0193	3666	
1603.2689	2259	
1604.2592	4865	
1604.5090	8881	
1604.7594	11810	
1605.0097	12213	
1605.2599	10842	
1605.5094	8505	
1605.7581	7397	
1606.0079	7708	
1606.2575	7803	
1606.5086	7074	
1606.7590	5618	
1607.0094	4032	
1607.2618	2669	
1607.5140	2056	
1610.0140	3191	
1610.2654	4123	
1610.5163	4619	
1610.7697	5112	
1611.0239	6722	
1611.2766	8236	
1611.5278	8315	
1611.7783	7165	
1612.0286	5305	
1612.2788	3723	
1612.5285	2318	
1614.2753	5726	
1614.5256	10830	
1614.7742	53798	
1615.0245	116757	
1615.2749	153471	
1615.5253	161284	
1615.7757	136067	
1616.0259	93830	
1616.2764	59630	
1616.5269	34862	
1616.7777	18183	
1617.0289	9661	
1617.2799	5030	
1617.5310	2820	
1618.7712	3222	
1619.0218	6131	
1619.2723	8255	
1619.5228	8836	
1619.7728	8118	
1620.0220	6211	
1620.2702	5852	
1620.5200	5525	
1620.7698	5606	
1621.0205	4969	
1621.2711	4142	
1621.5221	3072	
1621.7732	2171	
1624.5238	2097	
1624.7758	2806	
1625.0263	3049	
1625.2800	3277	
1625.5351	4178	
1625.7885	5226	
1626.0403	5494	
1626.2905	4982	
1626.5406	3804	
1626.7909	2461	
1628.7878	3524	
1629.0385	6747	
1629.2873	30533	
1629.5375	67284	
1629.7880	95338	
1630.0385	95343	
1630.2890	82884	
1630.5393	57430	
1630.7896	36524	
1631.0401	20042	
1631.2906	10408	
1631.5416	5570	
1631.7924	3061	
1633.2819	2071	
1633.5347	4000	
1633.7853	5307	
1634.0354	5574	
1634.2858	5113	
1634.5348	4083	
1634.7835	3763	
1635.0324	4236	
1635.2825	3903	
1635.5334	3640	
1635.7836	2932	
1636.0347	2184	
1639.5377	2036	
1640.0459	2651	
1640.3003	3192	
1640.5515	3263	
1640.8019	3010	
1641.0519	2219	
1643.2991	2095	
1643.5510	4121	
1643.8005	16436	
1644.0508	36518	
1644.3012	52061	
1644.5515	52152	
1644.8020	45650	
1645.0526	31248	
1645.3028	19995	
1645.5529	11337	
1645.8035	6406	
1646.0542	3484	
1648.0456	2418	
1648.2975	3303	
1648.5478	3548	
1648.7983	3216	
1649.0478	2628	
1649.2964	2524	
1649.5459	2760	
1649.7955	3023	
1650.0460	2764	
1650.2960	2259	
1658.0631	2483	
1658.3132	9466	
1658.5639	20340	
1658.8144	26887	
1659.0649	27018	
1659.3149	23222	
1659.5653	17491	
1659.8160	10816	
1660.0664	6340	
1660.3169	3510	
1663.0592	2131	
1664.0589	2231	
1664.3091	2345	
1664.5598	2162	
1672.8259	5265	
1673.0769	10317	
1673.3275	14422	
1673.5779	14627	
1673.8281	12419	
1674.0783	9059	
1674.3284	6043	
1674.5787	3438	
1687.3388	2980	
1687.5901	5935	
1687.8405	7851	
1688.0906	8402	
1688.3413	7254	
1688.5912	4987	
1688.8409	3316	
1689.0913	2061	
1690.7954	2200	
1691.0467	2455	
1691.2977	2106	
1702.1022	2877	
1702.3533	3753	
1702.6037	4050	
1702.8542	3673	
1703.1043	2508	
1705.3093	2628	
1705.5610	2645	
1705.8111	2401	
1719.5726	2025	
1719.8235	2819	
1720.0750	2990	
1720.3244	2723	
1720.5740	2033	
1734.3370	2458	
1734.5882	2623	
1734.8376	2331	
1796.5572	2158	
1796.6984	2094	
1796.8419	2084	
1804.7059	2514	
1804.8482	3054	
1804.9927	3181	
1805.1344	2673	
1805.2796	2446	
1812.8553	2099	
1812.9996	2999	
1813.1419	3281	
1813.2859	3847	
1813.4284	3445	
1813.5718	3125	
1813.7154	2275	
1821.1489	2033	
1821.2927	2876	
1821.4356	3352	
1821.5784	3786	
1821.7218	3597	
1821.8650	2943	
1822.0085	2367	
1829.5860	2680	
1829.7288	3062	
1829.8717	3298	
1830.0152	3095	
1830.1585	2394	
1830.3010	2208	
